      Year     Month       Day      Prec      Evap    Runoff     Q_obs     Q_cal
      2002         1         1    36.000     0.000     0.014     5.353     1.823
      2002         1         2    36.000     0.000     0.011     5.334     1.826
      2002         1         3    36.000     0.000     0.011     5.317     1.857
      2002         1         4    36.000     0.000     0.010     5.303     1.894
      2002         1         5    36.000     0.000     0.010     5.291     1.931
      2002         1         6    36.000     0.000     0.009     5.282     1.964
      2002         1         7    36.000     0.000     0.009     5.274     1.993
      2002         1         8    36.000     0.000     0.009     5.269     2.018
      2002         1         9    36.000     0.000     0.009     5.266     2.041
      2002         1        10    36.000     0.000     0.009     5.265     2.063
      2002         1        11    36.000     0.000     0.008     5.265     2.083
      2002         1        12    36.000     0.000     0.009     5.267     2.102
      2002         1        13    36.000     0.000     0.033     5.271     2.128
      2002         1        14    36.000     0.000     0.008     5.276     2.170
      2002         1        15    36.000     0.000     0.007     5.283     2.201
      2002         1        16    36.000     0.000     0.007     5.291     2.220
      2002         1        17    36.000     0.000     0.007     5.300     2.233
      2002         1        18    36.000     0.000     0.007     5.310     2.244
      2002         1        19    36.000     0.000     0.007     5.321     2.253
      2002         1        20    36.000     0.000     0.007     5.333     2.263
      2002         1        21    36.000     0.000     0.007     5.346     2.273
      2002         1        22    36.000     0.000     0.007     5.359     2.283
      2002         1        23    36.000     0.000     0.007     5.373     2.293
      2002         1        24    36.000     0.000     0.006     5.388     2.304
      2002         1        25    36.000     0.000     0.006     5.403     2.315
      2002         1        26    36.000     0.000     0.006     5.418     2.326
      2002         1        27    36.000     0.000     0.006     5.433     2.336
      2002         1        28    36.000     0.000     0.006     5.449     2.347
      2002         1        29    36.000     0.000     0.006     5.464     2.357
      2002         1        30    36.000     0.000     0.008     5.479     2.368
      2002         1        31    36.000     0.000     0.006     5.494     2.380
      2002         2         1    36.000     0.000     0.024     5.509     2.395
      2002         2         2    36.000     0.000     0.011     5.523     2.420
      2002         2         3    36.000     0.000     0.018     5.537     2.442
      2002         2         4    36.000     0.000     0.013     5.550     2.463
      2002         2         5    36.000     0.000     0.013     5.563     2.482
      2002         2         6    36.000     0.000     0.006     5.574     2.497
      2002         2         7    36.000     0.000     0.005     5.585     2.506
      2002         2         8    36.000     0.000     0.005     5.594     2.509
      2002         2         9    36.000     0.000     0.005     5.603     2.510
      2002         2        10    36.000     0.000     0.051     5.610     2.517
      2002         2        11    36.000     0.000     0.063     5.616     2.558
      2002         2        12    36.000     0.000     0.043     5.620     2.631
      2002         2        13    36.000     0.000     0.051     5.623     2.706
      2002         2        14    36.000     0.000     0.044     5.624     2.807
      2002         2        15    36.000     0.000     0.138     5.624     2.981
      2002         2        16    36.000     0.000     0.131     5.621     3.336
      2002         2        17    36.000     0.000     0.232     5.617     3.823
      2002         2        18    36.000     0.000     0.098     5.611     4.442
      2002         2        19    36.000     0.000     0.051     5.602     4.908
      2002         2        20    36.000     0.000     0.042     5.591     5.157
      2002         2        21    36.000     0.000     0.063     5.578     5.275
      2002         2        22    36.000     0.000     0.079     5.563     5.370
      2002         2        23    36.000     0.000     0.076     5.544     5.484
      2002         2        24    36.000     0.000     0.026     5.524     5.576
      2002         2        25    36.000     0.000     0.009     5.501     5.561
      2002         2        26    36.000     0.000     0.043     5.476     5.474
      2002         2        27    36.000     0.000     0.068     5.449     5.428
      2002         2        28    36.000     0.000     0.045     5.420     5.456
      2002         3         1    36.000     0.000     0.571     5.389     5.773
      2002         3         2    36.000     0.000     0.037     5.355     6.744
      2002         3         3    36.000     0.000     0.080     5.321     7.330
