      Year     Month       Day      Prec      Evap    Runoff     Q_obs     Q_cal
      2016         1         1    36.000     0.000     0.029     7.027     2.349
      2016         1         2    36.000     0.000     0.021     6.948     2.322
      2016         1         3    36.000     0.000     0.026     6.873     2.313
      2016         1         4    36.000     0.000     0.021     6.802     2.302
      2016         1         5    36.000     0.000     0.076     6.736     2.292
      2016         1         6    36.000     0.000     0.014     6.673     2.310
      2016         1         7    36.000     0.000     0.014     6.615     2.301
      2016         1         8    36.000     0.000     0.013     6.559     2.298
      2016         1         9    36.000     0.000     0.017     6.508     2.288
      2016         1        10    36.000     0.000     0.047     6.459     2.281
      2016         1        11    36.000     0.000     0.026     6.413     2.286
      2016         1        12    36.000     0.000     0.012     6.370     2.284
      2016         1        13    36.000     0.000     0.011     6.330     2.279
      2016         1        14    36.000     0.000     0.012     6.292     2.271
      2016         1        15    36.000     0.000     0.021     6.257     2.262
      2016         1        16    36.000     0.000     0.034     6.223     2.256
      2016         1        17    36.000     0.000     0.014     6.191     2.257
      2016         1        18    36.000     0.000     0.011     6.161     2.250
      2016         1        19    36.000     0.000     0.015     6.132     2.243
      2016         1        20    36.000     0.000     0.020     6.105     2.236
      2016         1        21    36.000     0.000     0.011     6.079     2.232
      2016         1        22    36.000     0.000     0.009     6.053     2.224
      2016         1        23    36.000     0.000     0.009     6.028     2.215
      2016         1        24    36.000     0.000     0.009     6.004     2.206
      2016         1        25    36.000     0.000     0.009     5.980     2.196
      2016         1        26    36.000     0.000     0.009     5.956     2.186
      2016         1        27    36.000     0.000     0.011     5.932     2.176
      2016         1        28    36.000     0.000     0.010     5.908     2.167
      2016         1        29    36.000     0.000     0.008     5.883     2.158
      2016         1        30    36.000     0.000     0.007     5.858     2.147
      2016         1        31    36.000     0.000     0.007     5.832     2.135
      2016         2         1    36.000     0.000     0.007     5.805     2.123
      2016         2         2    36.000     0.000     0.007     5.778     2.111
      2016         2         3    36.000     0.000     0.009     5.750     2.098
      2016         2         4    36.000     0.000     0.007     5.722     2.087
      2016         2         5    36.000     0.000     0.006     5.693     2.075
      2016         2         6    36.000     0.000     0.005     5.665     2.062
      2016         2         7    36.000     0.000     0.009     5.637     2.049
      2016         2         8    36.000     0.000     0.016     5.608     2.038
      2016         2         9    36.000     0.000     0.007     5.580     2.030
      2016         2        10    36.000     0.000     0.031     5.553     2.018
      2016         2        11    36.000     0.000     0.005     5.526     2.017
      2016         2        12    36.000     0.000     0.004     5.499     2.005
      2016         2        13    36.000     0.000     0.004     5.474     1.996
      2016         2        14    36.000     0.000     0.004     5.449     1.983
      2016         2        15    36.000     0.000     0.004     5.425     1.972
      2016         2        16    36.000     0.000     0.016     5.403     1.960
      2016         2        17    36.000     0.000     0.057     5.381     1.954
      2016         2        18    36.000     0.000     0.023     5.361     1.971
      2016         2        19    36.000     0.000     0.010     5.343     1.974
      2016         2        20    36.000     0.000     0.037     5.326     1.975
      2016         2        21    36.000     0.000     0.055     5.311     1.984
      2016         2        22    36.000     0.000     0.029     5.298     2.000
      2016         2        23    36.000     0.000     0.028     5.286     2.007
      2016         2        24    36.000     0.000     0.031     5.277     2.013
      2016         2        25    36.000     0.000     0.015     5.270     2.016
      2016         2        26    36.000     0.000     0.063     5.266     2.014
      2016         2        27    36.000     0.000     0.055     5.264     2.034
      2016         2        28    36.000     0.000     0.041     5.265     2.052
      2016         2        29    36.000     0.000     0.022     5.268     2.072
      2016         3         1    36.000     0.000     0.013     5.274     2.082
      2016         3         2    36.000     0.000     0.048     5.283     2.088
      2016         3         3    36.000     0.000     0.076     5.294     2.109
      2016         3         4    36.000     0.000     0.059     5.308     2.142
      2016         3         5    36.000     0.000     0.074     5.324     2.171
      2016         3         6    36.000     0.000     0.020     5.341     2.208
      2016         3         7    36.000     0.000     0.020     5.360     2.222
      2016         3         8    36.000     0.000     0.025     5.380     2.236
      2016         3         9    36.000     0.000     0.024     5.402     2.246
      2016         3        10    36.000     0.000     0.028     5.424     2.254
      2016         3        11    36.000     0.000     0.042     5.446     2.263
      2016         3        12    36.000     0.000     0.030     5.469     2.276
      2016         3        13    36.000     0.000     0.049     5.492     2.286
