      Year     Month      Prec      Evap    Runoff     Q_obs     Q_cal
      2002         1  1116.000     0.000     0.275     5.338     2.158
      2002         2  1008.000     0.000     1.453     5.566     3.704
      2002         3  1116.000     0.000     4.399     4.712     9.374
      2002         4  1080.000     0.000     7.648     3.939    15.056
      2002         5  1116.000     0.000     3.754    10.718    15.712
      2002         6  1080.000     0.000    14.696    36.982    29.694
      2002         7  1116.000     0.000    16.688    80.447    54.623
      2002         8  1116.000     0.000    14.697   107.821    66.498
      2002         9  1080.000     0.000     3.718    58.701    45.257
      2002        10  1116.000     0.000     1.960    19.232    23.805
      2002        11  1080.000     0.000     0.794    10.191    14.698
      2002        12  1116.000     0.000     0.535     6.716     9.598
      2003         1  1116.000     0.000     0.742     5.877     7.188
      2003         2  1008.000     0.000     2.589     6.000     7.332
      2003         3  1116.000     0.000    16.170     6.097    19.564
      2003         4  1080.000     0.000    13.734     7.233    39.189
      2003         5  1116.000     0.000    16.141    15.209    39.621
      2003         6  1080.000     0.000    51.042    50.733    88.021
      2003         7  1116.000     0.000    17.304   115.999   104.073
      2003         8  1116.000     0.000    11.265   107.577    85.543
      2003         9  1080.000     0.000     7.817    69.377    59.943
      2003        10  1116.000     0.000     2.059    27.335    34.692
      2003        11  1080.000     0.000     1.181     9.021    19.344
      2003        12  1116.000     0.000     0.722     7.987    13.259
      2004         1  1116.000     0.000     1.576     6.242    10.327
      2004         2  1044.000     0.000     5.371     6.147    13.999
      2004         3  1116.000     0.000     6.225     6.835    18.797
      2004         4  1080.000     0.000     9.520     7.930    21.432
      2004         5  1116.000     0.000    10.819    23.891    31.341
      2004         6  1080.000     0.000    12.973    49.881    40.804
      2004         7  1116.000     0.000    16.787    82.369    55.331
      2004         8  1116.000     0.000    13.552   110.292    69.106
      2004         9  1080.000     0.000     4.527    66.521    48.168
      2004        10  1116.000     0.000     2.462    17.860    24.718
      2004        11  1080.000     0.000     1.260     7.246    15.636
      2004        12  1116.000     0.000     0.724     5.942    10.813
      2005         1  1116.000     0.000     0.661     5.786     8.075
      2005         2  1008.000     0.000     3.332     5.795     8.391
      2005         3  1116.000     0.000    22.855     4.680    38.458
      2005         4  1080.000     0.000    46.916     9.702    78.880
      2005         5  1116.000     0.000    11.525    22.572    81.438
      2005         6  1080.000     0.000    68.634   101.402   110.707
      2005         7  1116.000     0.000    55.993   132.690   186.104
      2005         8  1116.000     0.000    12.883   111.365   131.434
      2005         9  1080.000     0.000     7.686    71.695    88.451
      2005        10  1116.000     0.000     2.866    27.628    50.392
      2005        11  1080.000     0.000     2.222    10.868    30.891
      2005        12  1116.000     0.000     1.704     8.155    21.409
      2006         1  1116.000     0.000     1.226     6.841    15.026
      2006         2  1008.000     0.000     5.311     7.979    17.731
      2006         3  1116.000     0.000    19.068     6.898    33.380
