      Year     Month      Prec      Evap    Runoff     Q_obs     Q_cal
      2016         1  1116.000     0.000     0.556     6.296     2.249
      2016         2  1044.000     0.000     0.606     5.465     2.024
      2016         3  1116.000     0.000     3.007     5.520     2.444
      2016         4  1080.000     0.000     2.910     5.097     2.935
      2016         5  1116.000     0.000     1.778    10.239     4.192
      2016         6  1080.000     0.000     3.509    51.412    18.065
      2016         7  1116.000     0.000     4.225    71.451    25.100
      2016         8  1116.000     0.000     4.943    78.810    27.849
      2016         9  1080.000     0.000     2.666    83.027    29.109
      2016        10  1116.000     0.000     2.065    35.305    12.889
      2016        11  1080.000     0.000     0.999     8.168     3.525
      2016        12  1116.000     0.000     0.520     8.041     3.201
      2017         1  1116.000     0.000     0.319     5.025     2.033
      2017         2  1008.000     0.000     3.326     4.896     2.475
      2017         3  1116.000     0.000     5.999     6.125     3.680
      2017         4  1080.000     0.000     8.869    17.169     9.813
      2017         5  1116.000     0.000     5.466    42.406    17.482
      2017         6  1080.000     0.000    13.358    91.726    34.203
      2017         7  1116.000     0.000     8.095   131.840    47.202
      2017         8  1116.000     0.000     4.318    97.289    34.976
      2017         9  1080.000     0.000     2.286    57.876    21.035
      2017        10  1116.000     0.000     1.232    15.725     6.489
      2017        11  1080.000     0.000     0.783     7.879     3.542
      2017        12  1116.000     0.000     0.557     4.732     2.309
      2018         1  1116.000     0.000     0.317     2.991     1.601
      2018         2  1008.000     0.000     0.549     3.475     1.734
      2018         3  1116.000     0.000     1.236     5.020     2.336
      2018         4  1080.000     0.000     2.091     9.137     3.987
      2018         5  1116.000     0.000     5.152    29.275    11.539
      2018         6  1080.000     0.000     3.028    70.442    25.070
      2018         7  1116.000     0.000     5.838   106.238    37.205
      2018         8  1116.000     0.000     3.792    77.825    27.751
      2018         9  1080.000     0.000     2.732    45.460    16.819
      2018        10  1116.000     0.000     1.097    18.250     7.314
      2018        11  1080.000     0.000     1.069    11.288     4.799
      2018        12  1116.000     0.000     0.509     5.932     2.794
      2019         1  1116.000     0.000     0.285     3.203     1.742
      2019         2  1008.000     0.000     0.906     2.647     1.651
      2019         3  1116.000     0.000     2.643     4.311     2.556
      2019         4  1080.000     0.000     5.958     8.315     5.449
      2019         5  1116.000     0.000     3.854    17.578     8.234
      2019         6  1080.000     0.000     8.790    45.770    18.208
      2019         7  1116.000     0.000     7.402    91.272    32.872
      2019         8  1116.000     0.000     4.723    98.817    35.261
      2019         9  1080.000     0.000     3.363    66.860    24.389
      2019        10  1116.000     0.000     0.911    23.513     9.343
      2019        11  1080.000     0.000     0.756    10.264     4.537
      2019        12  1116.000     0.000     0.475     7.538     3.456
      2020         1  1116.000     0.000     0.236     6.776     3.063
      2020         2  1044.000     0.000     0.865     6.320     2.990
      2020         3  1116.000     0.000     1.313     4.764     2.539
      2020         4  1080.000     0.000     5.278     7.178     4.527
      2020         5  1116.000     0.000     8.412    23.364    10.819
      2020         6  1080.000     0.000    10.270    52.012    21.272
      2020         7  1116.000     0.000     4.892    88.537    32.267
      2020         8  1116.000     0.000     4.544   111.192    39.333
      2020         9  1080.000     0.000     2.796    58.719    21.607
      2020        10  1116.000     0.000     1.174    17.738     7.534
      2020        11  1080.000     0.000     0.722     8.118     3.983
      2020        12  1116.000     0.000     0.379     6.434     3.214
      2021         1  1116.000     0.000     0.285     5.676     2.840
      2021         2  1008.000     0.000     1.206     4.784     2.769
      2021         3  1116.000     0.000     1.815     3.910     2.681
      2021         4  1080.000     0.000     2.343     5.988     3.471
      2021         5  1116.000     0.000     9.662    21.475     9.838
      2021         6  1080.000     0.000     6.196    51.617    20.492
      2021         7  1116.000     0.000     5.518   107.302    38.189
      2021         8  1116.000     0.000     3.172    98.682    35.127
      2021         9  1080.000     0.000     2.368    51.719    19.124
      2021        10  1116.000     0.000     1.478    26.127    10.383
      2021        11  1080.000     0.000     0.707    12.902     5.679
